var,likert,p_value,n_nonmiss
q83_fu21,TRUE,2.665427104804243e-5,75
q6_1_fu1,TRUE,1.3786652408021802e-4,161
q83_fu20,TRUE,5.0610486296825e-4,54
q5_1_fu20,TRUE,0.0010194141683079936,62
q2_2_fu1,TRUE,0.001883556570855389,166
progress_fu21,TRUE,0.004053559299604875,77
q8_1_fu20,TRUE,0.004254006947193271,62
q11_7,TRUE,0.007080722708998939,254
q2_3_fu1,TRUE,0.008947550537957304,165
q12_2,TRUE,0.011434695448184585,254
q13_3,TRUE,0.015430854320053838,254
q85_fu20,TRUE,0.020633677626520606,57
q39_fu20,TRUE,0.028245386526818732,62
q94_13,TRUE,0.028972689637585605,188
q8_1_2_fu1,TRUE,0.031246075349001964,154
q14_3,TRUE,0.0324817829202347,254
score_fu1,TRUE,0.033066569998316815,155
q7_1_5_fu20,TRUE,0.0338560406464828,58
q6_2_fu1,TRUE,0.047607536589842236,161
progress_fu1,TRUE,0.05260195206984343,166
q7_1_7_fu20,TRUE,0.05710665769623367,58
q7_1_8_fu20,TRUE,0.05780871605000786,58
q7_1_4_fu20,TRUE,0.05909305625006583,58
q13_7,TRUE,0.05953315047032319,253
progress_fu20,TRUE,0.060657436903661655,64
q13_6,TRUE,0.06332095740660068,254
q94_10,TRUE,0.06380526399612459,179
q7_10_fu1,TRUE,0.07189031780523583,155
q9_4,TRUE,0.07676009374188904,254
q7_16_fu1,TRUE,0.07723525634110626,155
q13_20,TRUE,0.07964173419626294,254
q13_17,TRUE,0.08830417366710917,254
enddate_fu21,TRUE,0.1028059602271865,77
q8_1_3_fu1,TRUE,0.10609181453781763,151
startdate_fu21,TRUE,0.10905201872876974,77
q89_fu21,TRUE,0.11396093076633552,75
q13_4,TRUE,0.11517443223317694,253
q7_2_1_fu21,TRUE,0.11552062027684575,74
q86_6_fu20,TRUE,0.11581218095964782,57
q86_12_fu20,TRUE,0.11922027378934992,57
q78_fu20,TRUE,0.12340420044820408,58
q84_fu20,TRUE,0.1254304767955957,57
q13_1,TRUE,0.12769994352529787,254
q7_1_3_fu20,TRUE,0.13824491827783664,58
q79_fu20,TRUE,0.14207136398569928,58
q7_2_fu1,TRUE,0.14642225590566957,160
q12_3,TRUE,0.15133942275102433,252
q84_fu21,TRUE,0.1560695995353587,75
q7_1_1_fu21,TRUE,0.1696036078543436,75
q5_3,TRUE,0.1725496579377245,239
q8_2_7_fu1,TRUE,0.1734990523314386,152
q5_2_fu20,TRUE,0.1827475087147852,62
q7_17_fu1,TRUE,0.18740222779362922,155
q6_14_fu20,TRUE,0.19044790676969198,58
q86_6_fu21,TRUE,0.19378374111904698,72
q7_2_2_fu21,TRUE,0.19461371581129022,73
q5_2,TRUE,0.1978515654304356,59
q13_8,TRUE,0.19882623553777376,254
q94_12,TRUE,0.19891153423445926,195
q8_1_1_fu1,TRUE,0.20912013799882337,156
q14_5,TRUE,0.21303564075953707,254
q16_3,TRUE,0.22232645040162272,250
q13_5,TRUE,0.22398999956226714,254
q9_2,TRUE,0.2246361699579633,254
q94_7,TRUE,0.2246772967515359,206
q85_fu21,TRUE,0.22820073090237672,75
q88_fu21,TRUE,0.23181373571031874,75
q7_18_fu1,TRUE,0.23958392293277603,155
q13_10,TRUE,0.23970043354511097,254
q7_1_13_fu21,TRUE,0.25011110900746303,73
date_completed_baseline,TRUE,0.25346965326736454,254
recordeddate,TRUE,0.25347213508952987,254
date_ora_voucher_sent,TRUE,0.26658093952344847,254
q13_9,TRUE,0.26845750438221294,254
q8_1_12_fu1,TRUE,0.27123847071106405,151
q78_fu21,TRUE,0.27217428447298286,75
q79_fu21,TRUE,0.27320007674477664,75
q94_8,TRUE,0.2738282113968129,194
q7_1_10_fu20,TRUE,0.28942045352719736,58
q5_4_fu20,TRUE,0.2910393150859462,61
q13_2,TRUE,0.30095196559662607,251
q13_23,TRUE,0.3102097419695373,254
date_signed,TRUE,0.31054493407943334,254
q81_fu21,TRUE,0.32179910745685136,62
q14_4,TRUE,0.3319113822723725,254
q7_1_11_fu21,TRUE,0.3373105295564509,73
q7_1_2_fu20,TRUE,0.3418415761345538,58
q7_11_fu1,TRUE,0.34411204205158186,155
q7_15_fu1,TRUE,0.348321231732123,155
