Characteristic,Value
"Age in years, median (IQR)",25 (21-27)
"Ethnicity, n (%)",
  Hispanic/Latinx,66 (26.0)
"Race, n (%)",
  American Indian or Alaskan Native,1 (0.4)
  Black or African American,196 (78.4)
  White,28 (11.2)
  Other,14 (5.6)
  Multiracial,11 (4.4)
"History of PrEP uptake, n (%)",
  Never taken PrEP,232 (91.3)
  In the past 6 months,22 (8.7)
"Number of male sex partners in the past 90 days, median (IQR)",4 (3-6)
"Condom use, n (%)",
  Never,36 (14.2)
  Sometimes,108 (42.5)
  About half the time,37 (14.6)
  Most of the time,68 (26.8)
  Always,5 (2.0)
"Condomless receptive anal sex in the past 90 days, n (%)",210 (82.7)
"Ever tested for HIV during lifetime, n (%)",191 (75.2)
"If tested for HIV, median (IQR)",
  Months since last HIV test,11 (6-21)
"If not tested for HIV, n (%)",63 (24.8)
